,selected_model,mean_accuracy
92,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=6,
              random_state=6, subsample=0.8, use_label_encoder=False)",0.5257425742574258
93,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=6, random_state=54,
              subsample=0.8, use_label_encoder=False)",0.5306930693069307
94,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=6,
              random_state=90, subsample=0.8, use_label_encoder=False)",0.5188118811881189
95,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=6,
              n_estimators=150, random_state=18, subsample=0.8,
              use_label_encoder=False)",0.5366336633663368
96,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=6,
              n_estimators=150, random_state=5, subsample=0.8,
              use_label_encoder=False)",0.5346534653465348
97,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=6,
              n_estimators=150, random_state=30, subsample=0.8,
              use_label_encoder=False)",0.5287128712871288
98,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=6, n_estimators=150,
              random_state=71, subsample=0.8, use_label_encoder=False)",0.5257425742574258
99,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=6,
              n_estimators=150, random_state=8, subsample=0.8,
              use_label_encoder=False)",0.5297029702970298
100,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, max_depth=2,
              n_estimators=25, random_state=93, subsample=0.8,
              use_label_encoder=False)",0.5148514851485148
101,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, max_depth=2,
              n_estimators=25, random_state=49, subsample=0.8,
              use_label_encoder=False)",0.5217821782178218
102,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, max_depth=2,
              n_estimators=25, random_state=67, subsample=0.8,
              use_label_encoder=False)",0.5425742574257425
103,"XGBClassifier(eval_metric='auc', gamma=1, max_depth=2, n_estimators=25,
              random_state=77, subsample=0.8, use_label_encoder=False)",0.5297029702970297
104,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, max_depth=2,
              n_estimators=25, random_state=70, subsample=0.8,
              use_label_encoder=False)",0.5138613861386139
105,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, max_depth=2,
              n_estimators=50, random_state=78, subsample=0.8,
              use_label_encoder=False)",0.5198019801980198
106,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, max_depth=2,
              n_estimators=50, random_state=36, subsample=0.8,
              use_label_encoder=False)",0.5188118811881187
107,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, max_depth=2,
              n_estimators=50, random_state=47, subsample=0.8,
              use_label_encoder=False)",0.5267326732673266
108,"XGBClassifier(eval_metric='auc', gamma=1, max_depth=2, n_estimators=50,
              random_state=46, subsample=0.8, use_label_encoder=False)",0.5425742574257425
109,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, max_depth=2,
              n_estimators=50, random_state=24, subsample=0.8,
              use_label_encoder=False)",0.508910891089109
110,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, max_depth=2,
              random_state=19, subsample=0.8, use_label_encoder=False)",0.5366336633663368
